tensor([21432.3008, 21680.8828])
tensor([21697.4238, 21365.0020])
tensor([21589.5039, 21709.2754])
tensor([21637.8906, 21387.0723])
tensor([21449.3887, 21355.0332])
tensor([21563.6992, 21588.2500])
tensor([21487.0684, 21444.4531])
tensor([21551.3555, 21583.6230])
tensor([21505.1309, 21449.6230])
tensor([21543.5996, 21405.9395])
tensor([21390.0195, 21591.1387])
tensor([21542.8340, 21168.5234])
tensor([21593.2422, 21594.0977])
tensor([21425.3809, 21555.7109])
tensor([21651.1191, 21526.8359])
tensor([21785.3555, 21590.5293])
tensor([21614.5898, 21689.7207])
tensor([21534.0938, 21525.7598])
tensor([21651.5605, 21711.6152])
tensor([21505.4727, 21564.5977])
tensor([21855.6250, 21538.6484])
tensor([21479.0430, 21591.7871])
tensor([21459.7266, 21474.6055])
tensor([21528.4219, 21617.9922])
